id,judul,genre,sinopsis
174,Tenjou Tenge,"Action, Comedy, Ecchi","Bagi sebagian orang, sekolah menengah atas merupakan kesempatan untuk memulai awal yang baru. Anda dapat mengambil kelas baru dan mendapatkan teman baru. Namun, bagi Souichiro Nagi dan Bob Makihara, sekolah menengah memiliki arti yang berbeda: kesempatan untuk menjadi petarung terbaik di seluruh siswa! Sayang sekali Akademi Toudou adalah tempat tersulit untuk mewujudkan impian mereka. Sekolah menengah baru mereka bukanlah institusi akademis biasa. Daripada berkonsentrasi pada mata pelajaran klasik seperti matematika dan sains, Akademi Toudou diciptakan dengan tujuan untuk menghidupkan kembali seni bela diri di Jepang!

Akibatnya, cita-cita Souichiro untuk menjadi yang teratas terhenti ketika ia bertabrakan dengan Masataka Takayanagi dan Maya Natsume. Kedua kakak kelas ini dengan mudah menghentikan amukan duo mahasiswa baru di seluruh sekolah, namun bukannya berfungsi sebagai pencegah, hal itu justru memicu semangat kompetitif mereka. Petarung monster macam apa yang bersekolah di Akademi Toudou? Apakah ada yang lebih kuat dari Masataka dan Maya? Dan kenapa adik perempuan Maya menguntit Souichiro? Pelajari jawaban atas pertanyaan-pertanyaan ini dan lebih banyak lagi di Tenjou Tenge!"
175,Tokyo Underground,"Action, Adventure, Romance, Sci-Fi","Di bawah ibu kota Tokyo, Jepang, terdapat dunia yang besar, luas, dan tidak dikenal yang dikenal sebagai Bawah Tanah. Di sana, ada orang yang dikenal sebagai Pengguna Elemental; orang yang memiliki kemampuan mengendalikan elemen: Api, Air, Petir, Magnet, Beku, dll. Temui Rumina Asagi dan sahabatnya Ginnosuke Isuzu, dua siswa baru sekolah menengah rata-rata yang tinggal di Tokyo. Saat mereka bertemu Pengguna Gravitasi, Chelsea Rorec, dan Miko Kehidupan, Ruri Sarasa, seluruh hidup mereka berubah menjadi satu petualangan besar.

(Sumber: JST)"
176,Triangle Heart: Sweet Songs Forever,"Adventure, Romance","Fiasse adalah penyanyi terkenal di dunia. Dia sekarang menjadi kepala sekolah di Sekolah Menyanyi khusus yang mengadakan Tur Amal Dunia setiap tahun. Ibunya meninggalkan warisan untuknya setelah dia meninggal dan beberapa orang yang mencurigakan mengincar Fiasse dan warisan tersebut. Bawa Ellis, dan dua saudara kandung yang ahli pedang untuk melindungi Fiasse. Tur Dunia akan segera tiba dan Fiasse akan melanjutkan pertunjukannya. Ellis, Kyoya, Miyuki dan kawan-kawan harus melindungi teman masa kecil mereka dengan segala cara. 

(Sumber: JST)"
177,Tsubasa Chronicle,"Action, Adventure, Fantasy, Romance","Selama penggalian di reruntuhan misterius di Clow Country, Syaoran menemukan teman masa kecilnya, Putri Sakura, muncul di situs tersebut dengan sayap yang menyebar ke banyak bulu. Saat bulu itu menghilang ke dimensi lain, begitu pula ingatan Sakura. Dalam upaya menyelamatkan nyawa Sakura dan memulihkan ingatannya, Syaoran melakukan perjalanan ke dunia lain untuk mencari solusi. Hanya ada satu hal lagi yang bisa dia lakukan. Jelajahi dimensi berbeda untuk mengumpulkan bulu Sakura. Yang membantu dalam misi ini adalah Kurogane, seorang ninja yang diasingkan dari Negara Jepang yang ingin kembali ke dunianya, penyihir yang melarikan diri, Fay, yang ingin melompat di antara setiap dunia untuk tidak pernah kembali ke dunianya sendiri dan makhluk berbentuk roti daging putih, Mokona."
178,Ultra Maniac,"Comedy, Romance","Fantasi dan keajaiban tidak pernah menarik minat Ayu Tateishi, siswa kelas dua yang populer di sekolah menengahnya. Dia puas dengan mempertahankan citranya sebagai orang yang keren, tenang, dan tenang—semuanya untuk menarik perhatian kekasihnya, Tetsushi Kaji. Masa muda Ayu yang riang diinterupsi oleh kemunculan Nina Sakura, murid pindahan baru yang ternyata adalah seorang penyihir. Sebagai satu-satunya orang yang mengetahui kemampuan Nina dalam merapal mantra menggunakan komputer mini, Ayu terpaksa membantu Nina dalam misinya menemukan lima Batu Suci, sehingga membuatnya memenuhi syarat untuk menikah dengan pangeran Kerajaan Sihir.

Sayangnya, ketidakmampuan Nina dalam menggunakan sihir dan kebiasaannya mencampuri kehidupan pribadi Ayu hanya menimbulkan masalah bagi mereka berdua saat Ayu bekerja keras untuk mempertahankan reputasi baiknya dan Nina berjuang untuk menyembunyikan rahasianya dari pandangan Hiroki Tsujiai, sahabat Tetsushi dan penggemar berat manga. Dan ketika pencarian Nina akan lima Batu Suci mendatangkan sekutu dan penantang dari Kerajaan Sihir, Ayu terseret ke dunia yang bahkan tidak pernah ia bayangkan mungkin terjadi."
179,Ultra Maniac OVA,"Comedy, Romance","Ayu Tateishi adalah siswa tahun kedua yang populer di sekolah menengahnya yang dikagumi karena ketenangan, keren, dan ketenangannya. Tapi gambar yang dipelihara dengan hati-hati ini dibuat untuk menarik perhatian kekasihnya, Tetsushi Kaji, yang pernah memujinya atas kualitas tersebut. Belajar, bermain tenis, dan mencari kesempatan untuk berbicara dengan Tetsushi adalah semua yang ada di pikiran Ayu—sampai suatu hari dia menemukan komputer mini di bawah bangku. 

Setelah mengembalikan barang tersebut kepada Nina Sakura, gadis yang tadi mencari barang yang hilang, Ayu dipilih oleh Nina sebagai orang kepercayaannya. Ketika dua tim tenis sekolah berselisih mengenai penggunaan lapangan, Ayu terpaksa menyelesaikan masalah tersebut dengan bermain melawan Hiroki Tsujiai, kapten tim putra dan sahabat Tetsushi. Meski takut akan kehilangan dan mempermalukan dirinya sendiri, Ayu didekati oleh Nina, yang diturunkan menjadi penyihir yang datang ke Bumi setelah gagal lulus dari sekolah menengah Kerajaan Sihir. Ingin membantu Ayu memenangkan pertandingan, Nina mengilhami sepotong coklat dengan mantra yang mungkin berguna..."
180,Vandread,"Action, Sci-Fi, Ecchi","Di Vandread, pria berasal dari Mars dan wanita berasal dari Venus! Ya, kurang tepat. Teknologi telah memungkinkan umat manusia untuk menjajah seluruh galaksi Bima Sakti, dan dalam satu sistem bintang, pria dan wanita hidup di dua planet berbeda, Taraak dan Mejere. Perang gender yang pahit dan sangat literal berkecamuk, sampai pada titik di mana mereka bahkan tidak lagi melihat satu sama lain sebagai spesies yang sama!

Hibiki Tokai, seorang pekerja kelas tiga laki-laki dari Taraak, akhirnya terjebak di kapal perang setelah upayanya yang gagal dalam mencuri robot. Ketika bajak laut wanita menangkap Taraakian Vanguard, keadaan tampaknya tidak akan menjadi lebih buruk bagi Hibiki. Sayangnya, mereka melakukannya; ketika awak laki-laki dari Vanguard menembaki kapal mereka yang ditangkap karena putus asa, mereka menciptakan lubang cacing raksasa, yang menyedot kapal-kapal Vanguard dan bajak laut Mejeran ke dalam dirinya sendiri! Kini, karena terjebak jauh dari planet asal mereka, para pria dan wanita ini harus belajar bekerja sama jika mereka ingin bisa kembali ke rumah."
181,Vandread: The Second Stage,"Action, Sci-Fi, Ecchi","Meskipun Hibiki dan krunya mengalahkan kapal perang super besar di bumi pada tahap terakhir pertama, mereka melihat lima kapal perang selanjutnya mengarah ke Mejeiru dan Tarahk. Dan kru NIRVANA mengetahui Tarahk dan Mejeiru yang merupakan rumah mereka telah dihadapkan pada krisis Karitori (menuai). Perjalanan ke rumah mereka dipercepat sehingga mereka dapat menginformasikan krisis tersebut. Dalam perjalanan, informasi terkini tentang bumi yang dibawa oleh gadis Misty yang datang untuk bepergian bersama mereka ternyata lebih buruk dari yang mereka bayangkan. Hibiki dan kru menyadari pertarungan sesungguhnya akan terjadi di masa depan. VANDREAD akhirnya berubah menjadi sistem final karena serangan musuh yang semakin beringas. Bisakah mereka menyelamatkan rumah mereka? Lalu, bagaimana nasib hubungan Hibiki dan Dita?

(Sumber: AnimeNfo)"
182,Tenkuu no Escaflowne,"Adventure, Fantasy, Romance","Hitomi Kanzaki hanyalah seorang siswi biasa berusia 15 tahun yang tertarik pada kartu tarot dan ramalan, namun suatu malam, seorang anak laki-laki bernama Van Fanel tiba-tiba muncul dari langit bersama dengan seekor naga ganas. Berkat firasat Hitomi, Van berhasil membunuh naga tersebut, namun pilar cahaya muncul dan menyelimuti mereka berdua. Akibatnya, Hitomi mendapati dirinya dipindahkan ke dunia Gaea, sebuah negeri misterius tempat Bumi menggantung di langit.

Di negeri baru ini, Hitomi segera mengetahui bahwa Van adalah pangeran Kerajaan Fanelia, yang segera diserang oleh kerajaan jahat Zaibach. Dalam upaya untuk melawan mereka, Van menaiki guymelef Escaflowne milik keluarganya—sebuah pakaian pertempuran mekanis—tetapi gagal mengalahkan mereka, dan Fanelia akhirnya hancur. Sekarang dalam pelarian, Hitomi dan Van bertemu dengan seorang ksatria Asturia tampan bernama Allen Schezar, yang membuat Hitomi terkejut saat mengetahui bahwa dia terlihat persis seperti kekasihnya dari Bumi. Dengan beberapa sekutu baru di pihak mereka, Van dan Hitomi melawan kekuatan Zaibach saat kekaisaran berupaya menghidupkan kembali kekuatan kuno."
183,Whistle!,Sports,"Impian Kazamatsuri Shou adalah menjadi pemain sepak bola profesional, tapi dia punya satu masalah: dia tidak pandai bermain. Dia diterima di SMP Musashi no Mori yang bergengsi, yang terkenal dengan tim sepak bola kelas atas, tetapi dia tidak pernah mampu melampaui peringkat pemain stringer ketiga. Setelah pindah ke SMP Sakura Jousui, dia akhirnya bisa bermain sepak bola. Dan, dengan dukungan teman-teman barunya dan rekan satu timnya, tekadnya yang kuat, dan banyak kerja keras, keterampilan sepak bolanya berkembang pesat dan menempatkan Shou dalam perjalanannya untuk mencapai impiannya.

(Sumber: JST)"
184,Xenosaga The Animation,"Action, Sci-Fi","Tahunnya adalah T.C. 4767. Empat ribu tahun telah berlalu sejak umat manusia meninggalkan tempat kelahirannya, planet Bumi. Dilanda oleh alien Gnosis yang bermusuhan, umat manusia kini berjuang mencari cara untuk mengalahkan ancaman terhadap keberadaan mereka. Pengembangan KOS-MOS (android khusus dengan kemampuan luar biasa) oleh insinyur Vector Shion Uzuki merupakan salah satu respons terhadap ancaman tersebut. Namun ketika kapal mereka dihancurkan oleh Gnosis, Shion dan rekan-rekannya mendapati diri mereka terdorong ke tengah pertempuran tanpa pihak yang jelas...

(Sumber: Anime-Planet)"
185,Initial D First Stage,"Action, Drama","Berbeda dengan teman-temannya, Takumi Fujiwara tidak terlalu tertarik dengan mobil, dan hanya memiliki sedikit pengetahuan tentang dunia penggila mobil dan pembalap jalanan. Putra seorang pemilik toko tahu, ia ditugaskan mengantarkan tahu setiap pagi tanpa henti, berkendara di sepanjang gunung Akina. Oleh karena itu, percakapan mengenai mobil atau mengemudi secara umum hanya akan mengingatkan Takumi akan rutinitas sehari-hari yang melelahkan yang dipaksakan padanya.

Suatu malam, Akagi Red Suns, tim pembalap jalanan terkenal, mengunjungi kota Akina untuk menantang jalur pegunungan setempat. Dipimpin oleh dua ace mereka, Ryousuke dan Keisuke Takahashi, Red Suns berencana untuk menaklukkan setiap arena balap di Kanto, menjadikan diri mereka sebagai kru tercepat di wilayah tersebut. Namun, mereka tidak percaya, salah satu kartu as mereka disusul oleh Toyota AE86 tua dalam perjalanan pulang dari Akina. Setelah kejadian tersebut, Takahashi bersaudara mewaspadai pengemudi misterius yang memiliki teknik dan pengalaman luar biasa di jalan lokal—AE86 Gunung Akina."
186,Initial D Second Stage,"Action, Drama","Mengumpulkan serangkaian kemenangan mengesankan dengan AE86 miliknya, Takumi Fujiwara telah mengukuhkan dirinya sebagai bintang baru balap jalanan. Namun, kepercayaan dirinya yang baru ditemukan untuk menang di kandangnya di Gunung Akina telah terancam oleh tim Emperor baru yang secara eksklusif menggunakan model mobil yang disukai oleh sebagian besar pilot balap profesional: Mitsubishi four-wheel drive Lancer Evolutions—juga dikenal sebagai Lan Evos. Pemimpin tim Kaisar, Kyouichi Sudou, memandang rendah Takumi dan menganggapnya sebagai pilot inferior karena mengendarai mobil antik yang tidak memiliki bakat untuk menjadi mobil balap modern sejati. Filosofi elitis Kyouichi juga menjadi alasan mengapa timnya hanya terdiri dari pembalap Lan Evo.

Akankah Takumi mampu mempertahankan rekam jejaknya yang sempurna melawan tim Kaisar yang sangat terampil dan unggul secara mekanis, atau apakah rekor terbaiknya berakhir di sini?"
187,Initial D Third Stage,"Action, Drama, Romance","Takumi Fujiwara adalah seorang pembalap jalanan yang terampil, namun ia menderita kekalahan telak melawan pemimpin tim Kaisar Kyoichi Sudou karena AE86 miliknya mengalami kerusakan mesin. Meragukan kemampuannya, lulusan sekolah menengah baru ini kemudian didekati oleh pemimpin tim Akagi RedSuns, Ryousuke Takahashi, yang mengusulkan pembentukan tim balap jalanan profesional. Meskipun ini merupakan cara ideal untuk berkembang sebagai pembalap jalanan, Takumi masih ragu-ragu.

Apakah pembalap jalanan muda memiliki kemampuan untuk menjadi seorang profesional? Mungkin Ryousuke dan RedSuns dapat membantunya mengevaluasi kembali keraguan dan kesalahpahamannya tentang balap jalanan. Namun, yang pertama dan terpenting, Takumi memutuskan untuk menyelesaikan masalah dengan Kyoichi Sudou..."
188,Gosenzo San'e,"Comedy, Mystery, Supernatural, Hentai","Masquerade adalah kisah seputar garis keturunan Hiraga di mana Gen menjadi bagiannya. Baru-baru ini menjadi yatim piatu, dia pindah ke rumah neneknya dan tanpa disadari memicu kutukan klan Hiraga di mana hampir setiap anggotanya menjalani kehidupan yang sangat singkat. Di rumah neneknya, Gen mulai mengungkap kenangan samar-samar dari mimpi yang selalu ia alami. Dengan bantuan seorang mahasiswa pascasarjana Amerika, mereka mencoba mengungkap rahasia garis keturunan Hiraga, bisikan legenda keabadian yang terkunci dalam gennya, dan cara untuk mencegah Gen mengalami nasib yang sama seperti yang dialami setiap nenek moyangnya sebelum dia. 

(Sumber: JST)"
189,Love Hina,"Comedy, Romance, Ecchi","Keitaro Urashima berjanji kepada seorang gadis ketika dia masih muda bahwa mereka akan bertemu lagi di Universitas Tokyo di masa depan. Mirisnya, di Ujian Praktek Nasional, Keitaro berada di peringkat 27 dari bawah. Mengetahui neneknya memiliki sebuah hotel, Keitaro berniat untuk tinggal di sana sambil melanjutkan studinya di Tokyo U, hanya untuk mengetahui bahwa hotel tersebut telah lama diubah menjadi asrama khusus perempuan. Melalui nasib yang aneh, Keitaro akhirnya menjadi manajer asrama, memulai hidupnya bersama lima gadis lainnya."
190,Love Hina Again,"Comedy, Drama, Romance, Ecchi","Keitaro akhirnya lulus ujian masuk, dan resmi menjadi siswa Toudai. Namun setelah kakinya patah karena kecelakaan pada upacara penerimaan, dia berpikir dan mengevaluasi kembali dirinya sendiri. Memiliki tujuan baru, Keitaro mengikuti Seta dalam perjalanan arkeologi ke luar negeri. Namun, selama ketidakhadirannya, semuanya tidak baik-baik saja di Hinata Lodge. Urashima Kanako, saudara perempuan Keitaro, tiba di lokasi. Dia mengaku sebagai manajer baru Hinata Lodge mulai melawan semua penyewa. Keadaan menjadi lebih rumit ketika mereka menerima surat dari Keitaro. Para penyewa dan Kanako membuat kekacauan besar saat mencoba mendapatkan surat itu, tapi mobil Seta menabrak sebelum ada yang bisa membaca surat itu..."
191,Love Hina Christmas Special: Silent Eve,"Comedy, Romance","Saat putaran tes pendahuluan lainnya semakin dekat untuk Keitaro, begitu pula Natal. Dan sebagai Natal pertama di milenium ini, ada rumor yang mengatakan bahwa jika seseorang menyatakan cintanya pada malam istimewa ini, maka itu akan menjadi kenyataan. Keitaro telah memutuskan apa yang perlu dia lakukan pada malam Natal ini, tetapi sebagai peserta ulang, dia mampu mengalihkan perhatian dari ujian pada hari yang sama...

Musim dingin telah dimulai di Hinata. Natal akan segera tiba. Ada rumor tentang malam Natal yang istimewa ini: Jika seseorang akan menyatakan cintanya pada malam Natal ini, keinginan apa pun akan terkabul. Keitaro memutuskan untuk menyatakan cintanya kepada Naru. Tapi dia bukan satu-satunya yang mengaku pada malam natal ini...

(Sumber: JST)"
192,Love Hina Haru Special: Kimi Sakura Chiru Nakare!!,"Adventure, Comedy, Romance","Ujian telah tiba, dan Keitaro hanya bisa berharap untuk berhasil. Namun, di tahap terakhir, dia gagal total dan melamun melewati ujian tersebut. Dengan asumsi bahwa dia telah gagal, dia melarikan diri, jadi pemain lainnya memburunya di pulau terpencil terpencil untuk membawanya kembali.
Ujian masuk Toudai akhirnya tiba (lagi) untuk Keitaro. Dengan penuh percaya diri Keitaro duduk di depan koran, tapi akhirnya tertidur dan bermimpi tentang Narusegawa. Bangun dengan hampir tidak ada waktu untuk menyelesaikan makalahnya, Keitaro berpikir dia akan gagal dalam makalahnya dan mencoba melarikan diri dari Hinata Lodge dan melupakan semua kenangan bersamanya. Karena keberuntungan, dia bertemu Seta, tetapi berakhir di pulau yang jauh dengan seluruh pemain berusaha mencarinya.

(Sumber: JST)"
193,Maburaho,"Comedy, Drama, Romance, Ecchi","Di dunia Maburaho, setiap orang dilahirkan dengan kemampuan menggunakan sihir dan karenanya diberi label penyihir. Namun, kemampuan magis setiap orang tidaklah sama. Berapa kali Anda dapat menggunakan sihir menentukan jumlah rasa hormat yang Anda terima, dan karena kekuatan magis seseorang ditentukan sejak lahir oleh sifat dan genetika, mereka yang memiliki garis keturunan yang berasal dari penyihir terkenal sangat dicari.

Memiliki jumlah sihir terendah di Akademi Aoi, Kazuki Shikimori dipandang rendah oleh teman-teman sekelasnya dan dipandang sebagai penyihir yang hampir tidak berharga. Namun, garis keturunannya terdiri dari banyak penyihir hebat sepanjang zaman, yang berarti bahwa meskipun dia mungkin bukan penyihir hebat, keturunannya bisa saja menjadi penyihir hebat. Hal ini menyebabkan dia dicari oleh tiga wanita muda yang berbeda: Yuna Miyama, seorang siswa pindahan yang menyatakan dirinya sebagai istrinya pada saat kedatangan, Rin Kamishiro, seorang pendekar pedang wanita sombong dari keluarga tradisional yang ingin membunuhnya sehingga dia bebas mengejar keinginannya sendiri, dan Kuriko Kazetsubaki, anggota keluarga berpengaruh yang terus terang mencoba merayunya karena gennya.

Sekarang dia tidak hanya harus menghadapi kecemburuan semua pria di sekolahnya, tapi juga berbagai wanita yang mengejarnya!"
194,Macross Zero,"Action, Adventure, Sci-Fi","Berlangsung satu tahun sebelum Zentraedi tiba di Bumi, Macross Zero menceritakan hari-hari terakhir perang antara Spacy PBB dan anti-PBB. faksi. Setelah ditembak jatuh oleh pesawat tempur terbaru anti-PBB, pilot andalan Shin Kudo menemukan dirinya berada di pulau terpencil Maya, di mana teknologi hampir tidak ada. Sementara Shin tinggal di pulau itu untuk menyembuhkan luka-lukanya, ketenangan pulau itu hancur oleh pertempuran yang melibatkan pesawat tempur terbaru PBB – VF-0. 

(Sumber: JST)"
195,Onegai☆Teacher,"Drama, Romance, Sci-Fi","Suatu hari, Kei Kusanagi melihat seorang wanita aneh bercahaya di tepi danau. Dia menemukan bahwa wanita itu sebenarnya adalah petugas alien dari Federasi Galaksi bernama Mizuho Kazami, dan yang lebih mengejutkan lagi—dia juga gurunya! Terlepas dari kemunduran ini, dia dan gurunya secara bertahap mengenal satu sama lain dan percintaan pun berkembang di antara mereka. Namun tak lama kemudian, kepala sekolah mengetahui hubungan mereka. Solusinya? Menikah!

Bersama-sama, pengantin baru harus merahasiakan pernikahan mereka, tidak hanya dari teman SMA Kei, tapi juga Federasi Galaxy. Onegai☆Teacher adalah kisah cinta yang rapuh namun komedi antara alien dan muridnya."
196,Onegai☆Twins,"Comedy, Drama, Sci-Fi","Masa lalu Maiku Kamishiro selalu menjadi misteri baginya. Satu-satunya petunjuk yang dia miliki tentang siapa keluarganya mungkin adalah sebuah foto lama yang menunjukkan dua anak kecil, laki-laki dan perempuan, bermain di kolam kecil di luar rumah biru. Dalam upaya untuk menemukan keluarganya, dia pindah ke rumah biru ini dan mulai bekerja sebagai programmer. Dia menjalani kehidupan yang nyaman sampai suatu hari dua gadis yang sangat berbeda muncul di depan pintu rumahnya, keduanya memiliki foto yang sama, dan keduanya mengaku sebagai saudara kembarnya. Karena tidak ada cara untuk membuktikan siapa saudara dan siapa orang asing, Maiku mengizinkan kedua gadis itu tinggal bersamanya sampai mereka tahu pasti. 

(Sumber: JST)"
197,Rizelmine,"Comedy, Romance, Sci-Fi, Ecchi","Iwaki Tomonori adalah rata-rata anak laki-laki berusia 15 tahun yang menyukai wanita yang lebih tua. Dia kebetulan jatuh cinta pada gurunya, tetapi segera setelah itu, dia mengetahui bahwa gurunya telah bertunangan. Dia pulang ke rumah dengan hati yang patah, hanya untuk menemukan seorang gadis berusia 12 tahun bernama Rizel di rumahnya, yang dia ketahui bahwa pemerintah Jepang telah menikahkannya di luar keinginannya. Lebih jauh lagi, dia mengetahui bahwa Rizel bukanlah gadis biasa; dia adalah manusia yang direkayasa secara biokimia, dan penciptanya (""papa"", begitu mereka sering disebut) berjanji untuk melepaskan beberapa tagihan orang tua Iwaki sebagai imbalan untuk diizinkan tinggal di rumah mereka, dan dengan demikian kehidupan Iwaki bersama Rizel dimulai."
198,Speed Grapher,"Action, Mystery","Sepuluh tahun setelah Bubble War, dikotomi antara si kaya dan si miskin di dunia menjadi semakin menonjol dan tidak terkecuali Jepang. Orang-orang kaya berusaha memuaskan hasrat mereka dan memperoleh kesenangan bagi diri mereka sendiri, dan sebagai hasilnya, Tokyo telah menjadi kota seperti itu. Saiga, yang pernah menjadi fotografer perang, bekerja untuk Hibara Ginza di negara kapitalis Tokyo. Dia menyusup ke Klub Roppongi, sebuah markas rahasia yang terletak di distrik lampu merah kota, untuk mengumpulkan informasi tentang mereka. Namun, dia terjebak dalam proses tersebut dan dibawa ke hadapan seorang gadis bernama Kagura yang sedang melakukan ritual. Kontaknya dengan Kagura membangkitkan kemampuan spesialnya: kekuatan untuk membuat sesuatu meledak saat difoto. Untuk mengungkap misteri di balik Klub Roppongi dan Kagura, Saiga memulai pertarungan sendirian."
199,Sen to Chihiro no Kamikakushi,"Adventure, Award Winning, Supernatural","Keras kepala, manja, dan naif, Chihiro Ogino yang berusia 10 tahun kurang senang ketika dia dan orang tuanya menemukan taman hiburan yang ditinggalkan dalam perjalanan ke rumah baru mereka. Dengan hati-hati menjelajah ke dalam, dia menyadari bahwa ada lebih banyak hal di tempat ini daripada yang terlihat, karena hal-hal aneh mulai terjadi saat senja tiba. Penampakan hantu dan makanan yang mengubah orang tuanya menjadi babi hanyalah permulaan—tanpa disadari Chihiro telah menyeberang ke dunia roh. Sekarang terjebak, dia harus mengumpulkan keberanian untuk hidup dan bekerja di antara roh, dengan bantuan Haku yang penuh teka-teki dan karakter unik yang dia temui di sepanjang jalan.

Jelas dan menarik, Sen to Chihiro no Kamikakushi menceritakan kisah perjalanan Chihiro melalui dunia asing saat dia berusaha menyelamatkan orang tuanya dan kembali ke rumah."
200,Tenshi na Konamaiki,"Comedy, Romance","Megumi-chan adalah seorang gadis dengan masa lalu yang rahasia. Dia dulunya laki-laki sampai dia bertemu dengan seseorang yang dia pikir adalah pengguna sihir. Orang ini memberinya sebuah buku ajaib dimana jin muncul untuk mengabulkan satu permintaan ketika darah dioleskan padanya. Megumi membuat keinginan untuk menjadi laki-laki dalam tubuh laki-laki tetapi jin memiliki twist: dia mengabulkan keinginannya secara terbalik sehingga dia mengubah Megumi-kun yang berusia 9 tahun menjadi Megumi-chan. Tahun-tahun berlalu dan Megumi masuk SMA dimana dia langsung menghajar pengganggu sekolah yang tentu saja jatuh cinta padanya. Dia mencari buku itu lagi untuk bisa membalikkan mantra yang diberikan padanya.

(Sumber: JST)"
201,Video Girl Ai,"Comedy, Drama, Romance, Ecchi","Setelah penolakan telak, Youta Moteuchi yang patah hati berjalan pulang. Dalam perjalanannya, sebuah toko video remang-remang menarik perhatiannya, dan dia akhirnya membeli kaset ""video girl"" yang dimaksudkan untuk menenangkan hati para pria kesepian. Namun, ketika dia mencoba memutarnya di VCR-nya yang rusak, seorang gadis cantik melompat keluar dari TV-nya dan mendarat di tempat tidurnya. Menyebut dirinya Ai Amano, dia tampak seperti kesempatan emas bagi Youta untuk akhirnya merasakan cinta sejati—sampai kepribadiannya, yang kini meresahkan karena VCR yang rusak, terlihat jelas. Terlepas dari kekurangannya, Ai dengan sepenuh hati berjanji dia akan memastikan Youta menemukan kebahagiaan dan cinta sejati dalam hidupnya.

Video Girl Ai mengikuti kehidupan sehari-hari seorang remaja laki-laki dan pencariannya akan kisah cinta yang memuaskan. Dengan bantuan malaikat pelindung virtualnya, Youta berangkat untuk menemukan gadis impiannya."
202,Wolf's Rain,"Action, Adventure, Drama, Fantasy, Mystery, Sci-Fi","Di dunia yang sedang sekarat, terdapat sebuah legenda kuno: ketika dunia berakhir, pintu gerbang menuju surga akan terbuka. Utopia ini adalah satu-satunya penyelamat bagi sisa-sisa kehidupan di tanah tandus ini, namun legenda juga menyatakan bahwa hanya serigala yang dapat menemukan jalan ke alam mitos ini. Meskipun sudah lama dianggap punah, serigala masih ada dan hidup di antara manusia, menyamar melalui ilusi yang rumit. 

Seekor serigala bernama Kiba mendapati dirinya tertarik oleh aroma yang memabukkan ke Kota Freeze, sebuah kota miskin di bawah kekuasaan Lord Orkham yang tidak berperasaan. Di sini, Kiba menemukan bahwa serigala Hige, Tsume, dan Toboe tertarik pada aroma yang sama. Dengan mengikuti aroma ""Bunga Bulan"", yang dikatakan sebagai kunci untuk membuka pintu menuju dunia ideal mereka, para serigala memulai perjalanan melintasi lanskap terpencil dan kota-kota yang hancur untuk menemukan tanah perjanjian legendaris mereka. Namun, bukan hanya mereka yang mencari surga, dan mereka yang memiliki niat lebih jahat akan melakukan apa saja untuk mencapainya terlebih dahulu."
203,Words Worth,"Adventure, Fantasy, Hentai","Legenda tersebut bertahan dari generasi ke generasi. Tablet Words Worth, yang akan membuka rahasia Alam Semesta bagi orang yang dapat menguraikannya, telah hancur. Suku Cahaya dan Bayangan yang bertikai saling menyalahkan, dan tuduhan mereka menyebabkan perang habis-habisan!

Astral, pewaris takhta Kekuatan Bayangan yang tidak disiplin, bernafsu terhadap calon istrinya, Sharon. Tapi Sharon, seorang pejuang ulung, merasakan tubuhnya tertarik ke arah Caesar, pendekar pedang paling berani dari Suku Bayangan.

Sharon bertarung bersama Caesar saat diserang oleh Pasukan Cahaya, dan kecantikannya yang ganas memikat Sir Fabris, pemimpin Suku Cahaya. Pasukan Fabris kalah dalam pertempuran, tapi dia bersumpah bahwa suatu hari dia akan membawa Sharon ke tempat tidurnya, dengan cara yang sulit, jika perlu.

Sementara itu, Astral melampiaskan rasa frustrasi seksualnya pada Maria, seorang penyihir Suku Cahaya yang telah ditawan. Saat Astral menembus Maria, Sir Fabris bersiap meluncurkan penetrasinya sendiri: serangan skala penuh terhadap Suku Bayangan!

(Sumber: AnimeNfo)"
204,Yumeria,"Action, Comedy, Ecchi","Pada ulang tahunnya yang ke 16, Tomokazu Mikuri bermimpi realistis di mana dia melihat seorang gadis melawan monster raksasa yang mengambang. Ketika dia bangun, dia terkejut bahwa gadis itu benar-benar tidur di sebelahnya... Setiap kali dia tidur mulai sekarang, dia berakhir kembali di dunia mimpi, dan semakin banyak orang yang dia kenal terus muncul di sana juga. Dia mengetahui dari seorang wanita bertopeng misterius di dunia mimpi bernama Silk bahwa mereka bertarung melawan seseorang bernama Faydoom, dan dialah yang memberikan kekuatan kepada gadis-gadis itu sehingga mereka dapat melawan monster-monster tersebut. Dan begitulah yang terjadi...

(Sumber: JST)"
